comp_name,comp_type,comp_headq,how_old,comp_no_emp,comp_review,open_jobs,comp_services,comp_logo,comp_description

TCS,Public,"Mumbai,Maharashtra + 276 more",1 Lakh+ Employees (India),55 years old,(53.9k Reviews),452,"['BPO', 'IT Services & Consulting', 'Forbes Global 2000', 'Fortune India 500', 'Public', 'Mumbai,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3Rjcy5qcGc.webp,"We ensure the highest levels of certainty and satisfaction through a deep-set commitment to our clients, comprehensive industry expertise and a global network of innovation and delivery centers.

We function as a full stakeholder to business, offering a consulting-led approach with an integrated portfolio of technology led solutions that encompass the entire Enterprise value chain. Our Customer-centric Engagement Model defines how we do engage with you, offering specialized services and solutions that meet the distinct needs of your business.

We build bespoke teams around your domain and technology requirements drawn from our talent pool of over 488,649 global professionals including 36.5% women from 154 nationalities. Our domain expertise has been built upon decades of experience working across industries and this knowledge underpins our suite of solutions.

Our organization structure is domain led and empowered to help provide Customers a single window to industry specific solutions. Agile industry units have embedded capabilities to enable rapid responses that provide a competitive edge to our Customers. This is coupled with a unique Global Network Delivery Model� (GNDM�), spanning 40 global locations, that is today recognized as the benchmark of excellence in technology deployment.

We have made significant investments in Digital platforms and products spanning Technology Products, Horizontal Platforms and Products, Vertical Platforms and Products."

Accenture,Public,Dublin + 134 more,1 Lakh+ Employees (India),34 years old,(34.2k Reviews),5.7k,"['IT Services & Consulting', 'Software Product', 'Forbes Global 2000', 'Public']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2FjY2VudHVyZS5qcGc.webp,"Accenture is a global professional services company with leading capabilities in digital, cloud, and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology, and Operations services � all powered by the world�s largest network of Advanced Technology and Intelligent Operations centers. 

Our 674,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners, and communities. Visit us at accenture.com."

Cognizant,Private,Teaneck. New Jersey. + 103 more,1 Lakh+ Employees (India),29 years old,(31.4k Reviews),489,"['IT Services & Consulting', 'Forbes Global 2000']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2NvZ25pemFudC5qcGc.webp,"At Cognizant, we give organizations the insights to anticipate what customers want and act instantly to deliver on those demands. So they can achieve the goal of every modern business: staying one step ahead of a fast-changing world."

ICICI Bank,Public,"Mumbai,Maharashtra + 1081 more",1 Lakh+ Employees (India),29 years old,(35.3k Reviews),199,"['Financial Services', 'Banking', 'Forbes Global 2000', 'Fortune India 500', 'Public', 'Mumbai,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2ljaWNpLWJhbmsuanBn.webp,"ICICI Bank is a leading private sector bank in India. The Bank�s consolidated total assets stood at Rs. 14.76 trillion at September 30, 2020.  ICICI Bank currently has a network of 5,288 branches and 13,875 ATMs across India."

HDFC Bank,Public,"Mumbai,Maharashtra + 1302 more",50k-1 Lakh Employees (India),29 years old,(41.6k Reviews),248,"['Financial Services', 'Banking', 'Insurance', 'Forbes Global 2000', 'Fortune India 500', 'Public', 'Mumbai,Maharashtra']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2hkZmMtYmFuay5qcGc.webp,"The Housing Development Finance Corporation Limited or HDFC was among the first financial institutions in India to receive an �in principle� approval from the Reserve Bank of India (RBI) to set up a bank in the private sector. This was done as part of RBI�s policy for the liberalization of the Indian banking industry in 1994.

HDFC Bank was incorporated in August 1994 in the name of HDFC Bank Limited, with its registered office in Mumbai, India. The bank commenced operations as a Scheduled Commercial Bank in January 1995. As of March 31, 2021, the Bank had a nationwide distribution network of 5,608 branches and 16,087 ATMs in 2,902 cities/towns."

Wipro,Public,"Bangalore/Bengaluru,Karnataka + 232 more",1 Lakh+ Employees (India),78 years old,(30.7k Reviews),616,"['IT Services & Consulting', 'Conglomerate', 'Forbes Global 2000', 'Fortune India 500', 'Public', 'Bangalore/Bengaluru,Karnataka']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL3dpcHJvLmpwZw.webp,"Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading global information technology, consulting, and business process services company.

We harness the power of cognitive computing, hyper-automation, robotics, cloud, analytics, and emerging technologies to help our clients adapt to the digital world and make them successful.

A company recognized globally for its comprehensive portfolio of services, a strong commitment to sustainability, and good corporate citizenship, we have over 243,000 dedicated employees serving clients across six continents.

Together, we discover ideas and connect the dots to build a better and bold new future."

Infosys,Public,"Bengaluru/Bangalore,Karnataka + 128 more",1 Lakh+ Employees (India),42 years old,(29.9k Reviews),1.6k,"['IT Services & Consulting', 'Forbes Global 2000', 'Fortune India 500', 'Public', 'Bengaluru/Bangalore,Karnataka']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2luZm9zeXMuanBn.webp,"Infosys is a global leader in next-generation digital services and consulting. Over 300,000 of our people work to amplify human potential and create the next opportunity for people, businesses, and communities. 

With over four decades of experience in managing the systems and workings of global enterprises, we expertly steer clients, in more than 50 countries, as they navigate their digital transformation powered by the cloud. 

We enable them with an AI-powered core, empower the business with agile digital at scale and drive continuous improvement with always-on learning through the transfer of digital skills, expertise, and ideas from our innovation ecosystem. We are deeply committed to being a well-governed, environmentally sustainable organization where diverse talent thrives in an inclusive workplace.

Our purpose is to amplify human potential and create the next opportunity for people, businesses, and communities."

Capgemini,Public,Paris + 79 more,1 Lakh+ Employees (India),56 years old,(25.4k Reviews),1.4k,"['Internet', 'Analytics & KPO', 'IT Services & Consulting', 'Software Product', 'Forbes Global 2000', 'Public']",https://static.ambitionbox.com/assets/v2/images/rs:fit:200:200:false:false/bG9jYWw6Ly8vbG9nb3Mvb3JpZ2luYWxzL2NhcGdlbWluaS5qcGc.webp,"Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. 

The Group is guided everyday by its purpose of unleashing human energy through technology for an inclusive and sustainable future. It is a responsible and diverse organization of over 350,000 team members in more than 50 countries. 

With its strong 55 year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. 

The Group reported in 2021 global revenues of �18 billion.

Get the Future You Want |  www.capgemini.com/in-en"

